sample_size,repeat,model,class,precision,recall,f1_score,support
2800,0,FS_PCA_RandomForest,6,0.7857142857142857,0.825,0.8048780487804879,120.0
2800,0,FS_PCA_RandomForest,7,0.9736842105263158,0.925,0.9487179487179487,120.0
2800,1,FS_PCA_L1_Logistic,1,0.8604651162790697,0.925,0.891566265060241,120.0
2800,1,FS_PCA_L1_Logistic,2,0.8910891089108911,0.75,0.8144796380090498,120.0
2800,1,FS_PCA_L1_Logistic,3,0.8888888888888888,0.9333333333333333,0.9105691056910569,120.0
2800,1,FS_PCA_L1_Logistic,4,0.9745762711864406,0.9583333333333334,0.9663865546218487,120.0
2800,1,FS_PCA_L1_Logistic,5,1.0,0.925,0.961038961038961,120.0
2800,1,FS_PCA_L1_Logistic,6,0.8492063492063492,0.8916666666666667,0.8699186991869918,120.0
2800,1,FS_PCA_L1_Logistic,7,0.9224806201550387,0.9916666666666667,0.9558232931726908,120.0
2800,1,FS_PCA_Shrinkage_LDA,1,0.8540145985401459,0.975,0.9105058365758755,120.0
2800,1,FS_PCA_Shrinkage_LDA,2,0.989247311827957,0.7666666666666667,0.863849765258216,120.0
2800,1,FS_PCA_Shrinkage_LDA,3,0.9098360655737705,0.925,0.9173553719008265,120.0
2800,1,FS_PCA_Shrinkage_LDA,4,0.991304347826087,0.95,0.9702127659574468,120.0
2800,1,FS_PCA_Shrinkage_LDA,5,0.9826086956521739,0.9416666666666667,0.9617021276595744,120.0
2800,1,FS_PCA_Shrinkage_LDA,6,0.8592592592592593,0.9666666666666667,0.9098039215686274,120.0
2800,1,FS_PCA_Shrinkage_LDA,7,0.959349593495935,0.9833333333333333,0.9711934156378601,120.0
2800,1,FS_PCA_RBF_SVM,1,0.8592592592592593,0.9666666666666667,0.9098039215686274,120.0
2800,1,FS_PCA_RBF_SVM,2,0.941747572815534,0.8083333333333333,0.8699551569506726,120.0
2800,1,FS_PCA_RBF_SVM,3,0.8692307692307693,0.9416666666666667,0.904,120.0
2800,1,FS_PCA_RBF_SVM,4,0.991304347826087,0.95,0.9702127659574468,120.0
2800,1,FS_PCA_RBF_SVM,5,0.9739130434782609,0.9333333333333333,0.9531914893617022,120.0
2800,1,FS_PCA_RBF_SVM,6,0.9159663865546218,0.9083333333333333,0.9121338912133892,120.0
2800,1,FS_PCA_RBF_SVM,7,0.9512195121951219,0.975,0.9629629629629629,120.0
2800,1,FS_PCA_RandomForest,1,0.841726618705036,0.975,0.9034749034749034,120.0
2800,1,FS_PCA_RandomForest,2,0.9696969696969697,0.8,0.8767123287671232,120.0
2800,1,FS_PCA_RandomForest,3,0.8671875,0.925,0.8951612903225806,120.0
2800,1,FS_PCA_RandomForest,4,0.9912280701754386,0.9416666666666667,0.9658119658119658,120.0
2800,1,FS_PCA_RandomForest,5,0.9655172413793104,0.9333333333333333,0.9491525423728814,120.0
2800,1,FS_PCA_RandomForest,6,0.9,0.9,0.9,120.0
2800,1,FS_PCA_RandomForest,7,0.9354838709677419,0.9666666666666667,0.9508196721311475,120.0
2800,2,FS_PCA_L1_Logistic,1,0.8796992481203008,0.975,0.924901185770751,120.0
2800,2,FS_PCA_L1_Logistic,2,0.8869565217391304,0.85,0.8680851063829788,120.0
2800,2,FS_PCA_L1_Logistic,3,0.856,0.8916666666666667,0.8734693877551021,120.0
2800,2,FS_PCA_L1_Logistic,4,0.9661016949152542,0.95,0.957983193277311,120.0
2800,2,FS_PCA_L1_Logistic,5,0.9491525423728814,0.9333333333333333,0.9411764705882353,120.0
