sample_size,model,class,precision_mean,recall_mean,f1_mean,f1_std,support_mean
700,FS_PCA_Shrinkage_LDA,6,0.6893939393939394,0.8222222222222223,0.7487179487179487,0.10561653503847673,30.0
700,FS_PCA_Shrinkage_LDA,7,0.9535330261136713,0.9111111111111111,0.9310146479823073,0.06239736355806271,30.0
1400,FS_PCA_L1_Logistic,1,0.8801339971725367,0.8833333333333333,0.8799266150822893,0.02706636299370178,60.0
1400,FS_PCA_L1_Logistic,2,0.8770679010521046,0.8111111111111112,0.8400358366873434,0.03614830556726655,60.0
1400,FS_PCA_L1_Logistic,3,0.8970600785116914,0.9,0.8979159294136752,0.04652705725675373,60.0
1400,FS_PCA_L1_Logistic,4,0.9730301427815969,0.9666666666666667,0.9693574835668469,0.020726495082971683,60.0
1400,FS_PCA_L1_Logistic,5,0.9626588983050848,0.9499999999999998,0.9553726118778507,0.0033369924958033402,60.0
1400,FS_PCA_L1_Logistic,6,0.8076437587657784,0.8555555555555555,0.8301626636167239,0.02414459720756269,60.0
1400,FS_PCA_L1_Logistic,7,0.946269625303275,0.9611111111111111,0.9529495420404511,0.011086326168575206,60.0
1400,FS_PCA_RBF_SVM,1,0.8670912157629426,0.9444444444444443,0.9037874598837714,0.030260951131957144,60.0
1400,FS_PCA_RBF_SVM,2,0.9511171090118458,0.8611111111111112,0.9035569693464431,0.016930881918727932,60.0
1400,FS_PCA_RBF_SVM,3,0.9289629507415351,0.8777777777777778,0.9025355495510249,0.04151155363090387,60.0
1400,FS_PCA_RBF_SVM,4,0.9834213207372419,0.9444444444444443,0.9626832082939224,0.02133131929391229,60.0
1400,FS_PCA_RBF_SVM,5,0.9886031560490941,0.9555555555555556,0.971750195080205,0.004896487848686734,60.0
1400,FS_PCA_RBF_SVM,6,0.8549675863108699,0.9500000000000001,0.8999708369787109,0.012413996298508529,60.0
1400,FS_PCA_RBF_SVM,7,0.956698516840671,0.9777777777777777,0.9669353547096567,0.008816563513964525,60.0
1400,FS_PCA_RandomForest,1,0.8449302426284523,0.9388888888888888,0.8890878080292431,0.023901311131961447,60.0
1400,FS_PCA_RandomForest,2,0.9171156004489337,0.7999999999999999,0.8538068197869876,0.03642397353285127,60.0
1400,FS_PCA_RandomForest,3,0.8897852147852148,0.8055555555555557,0.8453737417005782,0.05137284609888323,60.0
1400,FS_PCA_RandomForest,4,0.9445764950009433,0.9388888888888888,0.9414413152118071,0.008812116697838723,60.0
1400,FS_PCA_RandomForest,5,0.9592741519744304,0.9055555555555556,0.9308739179740928,0.0414473151943607,60.0
1400,FS_PCA_RandomForest,6,0.82281898266553,0.9277777777777777,0.8720776424264797,0.0034874483071448757,60.0
1400,FS_PCA_RandomForest,7,0.9103592028796946,0.9500000000000001,0.9296650071272774,0.0508344329237991,60.0
1400,FS_PCA_Shrinkage_LDA,1,0.8591766969622533,0.9166666666666666,0.8860968743586457,0.040045137344398685,60.0
1400,FS_PCA_Shrinkage_LDA,2,0.9863888888888889,0.7722222222222221,0.8654103058633803,0.02830664051768516,60.0
1400,FS_PCA_Shrinkage_LDA,3,0.8675774134790529,0.8722222222222222,0.869880624426079,0.055162724106319914,60.0
1400,FS_PCA_Shrinkage_LDA,4,0.9884920634920635,0.9499999999999998,0.9686560565870911,0.018211233516641317,60.0
1400,FS_PCA_Shrinkage_LDA,5,0.9941520467836257,0.9444444444444445,0.9686110153672983,0.013168394411380199,60.0
1400,FS_PCA_Shrinkage_LDA,6,0.7767604561082821,0.9277777777777777,0.8454047591499866,0.01765830351129569,60.0
1400,FS_PCA_Shrinkage_LDA,7,0.9411162314388121,0.9777777777777777,0.9590830334532853,0.021762223738685124,60.0
2800,FS_PCA_L1_Logistic,1,0.8696722744719213,0.9277777777777777,0.8975001695607437,0.024968618274851483,120.0
2800,FS_PCA_L1_Logistic,2,0.9071472856883719,0.8111111111111112,0.855840165534806,0.03679911141022268,120.0
2800,FS_PCA_L1_Logistic,3,0.876074074074074,0.9027777777777778,0.8891239422598307,0.019215765182177262,120.0
2800,FS_PCA_L1_Logistic,4,0.9746237478042064,0.9611111111111111,0.9678164152690365,0.010620588183804127,120.0
2800,FS_PCA_L1_Logistic,5,0.9618868262936059,0.9472222222222223,0.9538550083743771,0.011012378533714989,120.0
2800,FS_PCA_L1_Logistic,6,0.8491743123787837,0.875,0.8609070970860347,0.013124052265257941,120.0
2800,FS_PCA_L1_Logistic,7,0.9456142655943499,0.9472222222222223,0.9457714503781123,0.011804199851751903,120.0
2800,FS_PCA_RBF_SVM,1,0.863136953161284,0.9638888888888889,0.9106246534930444,0.015051810877387876,120.0
2800,FS_PCA_RBF_SVM,2,0.9495741015188736,0.8388888888888889,0.8907141143258045,0.018139289475483645,120.0
2800,FS_PCA_RBF_SVM,3,0.8732061220433313,0.9194444444444444,0.8954431057563589,0.02559427552755774,120.0
2800,FS_PCA_RBF_SVM,4,0.985801202680998,0.9611111111111111,0.9732521329621645,0.00504821089694802,120.0
2800,FS_PCA_RBF_SVM,5,0.9585086489013558,0.9555555555555556,0.9568015347052669,0.009156808964993456,120.0
2800,FS_PCA_RBF_SVM,6,0.8977233087925436,0.8888888888888888,0.8929091891034792,0.024512399437728993,120.0
2800,FS_PCA_RBF_SVM,7,0.9635749198571446,0.9472222222222223,0.9551143522414107,0.0125181612066949,120.0
