sample_size,repeat,model,accuracy,macro_f1,inner_cv_macro_f1,selected_feature_count,pca_component_count
1400,0,FS_PCA_RandomForest,0.8904761904761904,0.8906908759987553,0.8897753524090464,50,43
1400,1,FS_PCA_L1_Logistic,0.8976190476190476,0.896122597757592,0.8810201798369162,50,42
1400,1,FS_PCA_Shrinkage_LDA,0.9095238095238095,0.9089834607617908,0.8894372554190471,50,42
1400,1,FS_PCA_RBF_SVM,0.9261904761904762,0.925898710681868,0.89828034940616,50,42
1400,1,FS_PCA_RandomForest,0.8928571428571429,0.8912264707187457,0.8796890655306352,50,38
1400,2,FS_PCA_L1_Logistic,0.9119047619047619,0.9129385023479316,0.8956729342228386,50,42
1400,2,FS_PCA_Shrinkage_LDA,0.9071428571428571,0.9076581957355339,0.8943481054699237,50,42
1400,2,FS_PCA_RBF_SVM,0.9333333333333333,0.9334297695962935,0.9183199762704879,50,42
1400,2,FS_PCA_RandomForest,0.9023809523809524,0.901936761392413,0.8936861789059625,50,42
700,0,FS_PCA_L1_Logistic,0.8142857142857143,0.8104266104266105,0.8202506198152482,50,42
700,0,FS_PCA_Shrinkage_LDA,0.8142857142857143,0.8161652561456664,0.8505225905331215,50,42
700,0,FS_PCA_RBF_SVM,0.8666666666666667,0.8666484419756763,0.8876855451038033,50,42
700,0,FS_PCA_RandomForest,0.861904761904762,0.8623907483304711,0.8343222264151559,50,42
700,1,FS_PCA_L1_Logistic,0.8857142857142857,0.886153737657497,0.868516977895581,50,30
700,1,FS_PCA_Shrinkage_LDA,0.9238095238095239,0.9246490289965694,0.8689530563607907,50,42
700,1,FS_PCA_RBF_SVM,0.919047619047619,0.9191845670404729,0.8811706245683886,50,42
700,1,FS_PCA_RandomForest,0.861904761904762,0.8610859732321847,0.8561008318194787,50,42
700,2,FS_PCA_L1_Logistic,0.8476190476190476,0.8471400184514939,0.8333300278642762,50,42
700,2,FS_PCA_Shrinkage_LDA,0.8857142857142857,0.8880655765933476,0.8441731161042628,50,42
700,2,FS_PCA_RBF_SVM,0.9142857142857143,0.9160022371339893,0.8657226335098175,50,42
700,2,FS_PCA_RandomForest,0.8714285714285714,0.8707163574224257,0.8250060826478894,50,42
350,0,FS_PCA_L1_Logistic,0.7333333333333333,0.7357725726267804,0.8285241847935345,50,41
350,0,FS_PCA_Shrinkage_LDA,0.8285714285714286,0.8316573403554972,0.8480749556600949,50,35
350,0,FS_PCA_RBF_SVM,0.8476190476190476,0.8492903112301651,0.8595081453634086,50,41
350,0,FS_PCA_RandomForest,0.7714285714285715,0.7683385579937304,0.8468826126942004,50,35
350,1,FS_PCA_L1_Logistic,0.819047619047619,0.8169575934215217,0.7784096297088337,50,27
350,1,FS_PCA_Shrinkage_LDA,0.8095238095238095,0.8096730646281501,0.8010800010316865,50,27
350,1,FS_PCA_RBF_SVM,0.8285714285714286,0.8320467722859268,0.8100738660695538,50,40
350,1,FS_PCA_RandomForest,0.8095238095238095,0.8121488918147904,0.7984300259178632,50,27
350,2,FS_PCA_L1_Logistic,0.7619047619047619,0.7663013889278366,0.7839048338633698,50,27
350,2,FS_PCA_Shrinkage_LDA,0.8095238095238095,0.8119376121002578,0.8180894845976667,50,34
350,2,FS_PCA_RBF_SVM,0.8380952380952381,0.8404396870410694,0.829530947147599,50,40
350,2,FS_PCA_RandomForest,0.8285714285714286,0.8290941187492911,0.8096435942798172,50,27
140,0,FS_PCA_L1_Logistic,0.6904761904761905,0.7041482327196613,0.6652777777777777,50,22
140,0,FS_PCA_Shrinkage_LDA,0.7857142857142857,0.7814661528947243,0.7394274376417234,50,29
140,0,FS_PCA_RBF_SVM,0.7619047619047619,0.7582940868655156,0.7508039579468151,50,36
140,0,FS_PCA_RandomForest,0.7380952380952381,0.7427334570191713,0.6861188414759842,50,22
140,1,FS_PCA_L1_Logistic,0.6428571428571429,0.6276992848421419,0.7414399092970521,50,36
140,1,FS_PCA_Shrinkage_LDA,0.7619047619047619,0.7708291708291709,0.7893990929705215,50,36
140,1,FS_PCA_RBF_SVM,0.6904761904761905,0.6990295418866846,0.7933390022675737,50,36
140,1,FS_PCA_RandomForest,0.7619047619047619,0.7575472146900717,0.7059523809523809,50,30
140,2,FS_PCA_L1_Logistic,0.5952380952380952,0.604029304029304,0.6747448979591837,50,22
140,2,FS_PCA_Shrinkage_LDA,0.7142857142857143,0.7163170163170164,0.7589723768295197,50,22
140,2,FS_PCA_RBF_SVM,0.7142857142857143,0.7163170163170164,0.752643784786642,50,22
140,2,FS_PCA_RandomForest,0.6904761904761905,0.6861325808694231,0.7179705215419501,50,22
